description	enabled	firstLadderSeason	lastLadderSeason	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
Shield	1				0					2	shld,nor,noe	lmr						useitem				sock			6	6																																																																															0
Shield Inf	1				0					2	shld,low	lmr						useitem				sock			6	6																																																																															0
Shield Sup	1				0					2	shld,hiq,noe	lmr						useitem				sock			6	6																																																																															0
Shield Eth	1				0					2	shld,nor,eth	lmr						useitem				sock			6	6																																																																															0
Shield Eth Sup	1				0					2	shld,hiq,eth	lmr						useitem				sock			6	6																																																																															0
Helm	1				0					2	helm,mag,nos	lmr						useitem				sock			1	2																																																																															0
Weapon	1				0					2	weap,mag,nos	lmr						useitem				sock			1	2																																																																															0
Armor	1				0					2	tors,mag,nos	lmr						useitem				sock			1	2																																																																															0
Shield	1				0					2	shld,mag,nos	lmr						useitem				sock			1	2																																																																															0
Throwing Knives	1				100					2	tkni,mag,nos	lmr						useitem				sock			1	2																																																																															0
Throwing Axes	1				100					2	taxe,mag,nos	lmr						useitem				sock			1	2																																																																															0
Throwing Javelins	1				100					2	jave,mag,nos	lmr						useitem				sock			1	2																																																																															0
Helm	1				0					2	helm,rar,nos	lmr						useitem				sock			1	1																																																																															0
Weapon	1				0					2	weap,rar,nos	lmr						useitem				sock			1	1																																																																															0
Armor	1				0					2	tors,rar,nos	lmr						useitem				sock			1	1																																																																															0
Shield	1				0					2	shld,rar,nos	lmr						useitem				sock			1	1																																																																															0
Throwing Knives	1				100					2	tkni,rar,nos	lmr						useitem				sock			1	1																																																																															0
Throwing Axes	1				100					2	taxe,rar,nos	lmr						useitem				sock			1	1																																																																															0
Throwing Javelins	1				100					2	jave,rar,nos	lmr						useitem				sock			1	1																																																																															0
Helm	1				0					2	helm,set,nos	lmr						useitem				sock			1	1																																																																															0
Weapon	1				0					2	weap,set,nos	lmr						useitem				sock			1	1																																																																															0
Armor	1				0					2	tors,set,nos	lmr						useitem				sock			1	1																																																																															0
Shield	1				0					2	shld,set,nos	lmr						useitem				sock			1	1																																																																															0
Throwing Knives	1				100					2	tkni,set,nos	lmr						useitem				sock			1	1																																																																															0
Throwing Axes	1				100					2	taxe,set,nos	lmr						useitem				sock			1	1																																																																															0
Throwing Javelins	1				100					2	jave,set,nos	lmr						useitem				sock			1	1																																																																															0
Helm	1				0					2	helm,uni,nos	lmr						useitem				sock			1	1																																																																															0
Weapon	1				0					2	weap,uni,nos	lmr						useitem				sock			1	1																																																																															0
Armor	1				0					2	tors,uni,nos	lmr						useitem				sock			1	1																																																																															0
Shield	1				0					2	shld,uni,nos	lmr						useitem				sock			1	1																																																																															0
Throwing Knives	1				100					2	tkni,uni,nos	lmr						useitem				sock			1	1																																																																															0
Throwing Axes	1				100					2	taxe,uni,nos	lmr						useitem				sock			1	1																																																																															0
Throwing Javelins	1				100					2	jave,uni,nos	lmr						useitem				sock			1	1																																																																															0
Helm	1				0					2	helm,crf,nos	lmr						useitem				sock			1	1																																																																															0
Weapon	1				0					2	weap,crf,nos	lmr						useitem				sock			1	1																																																																															0
Armor	1				0					2	tors,crf,nos	lmr						useitem				sock			1	1																																																																															0
Shield	1				0					2	shld,crf,nos	lmr						useitem				sock			1	1																																																																															0
Throwing Knives	1				100					2	tkni,crf,nos	lmr						useitem				sock			1	1																																																																															0
Throwing Axes	1				100					2	taxe,crf,nos	lmr						useitem				sock			1	1																																																																															0
Throwing Javelins	1				100					2	jave,crf,nos	lmr						useitem				sock			1	1																																																																															0
Block Bows	1				100					2	bow	fel						useitem																													fel																																																										0
Weapon + Flask = Ethereal Weapon	1				100					2	weap,noe	fel						useitem	99		99	ethereal	100		1	1																																																																															0
Armor + Flask = Ethereal Armor	1				100					2	armo,noe	fel						useitem	99		99	ethereal	100		1	1																																																																															0
MF + GF on Helm	1				0					6	helm	r32	r24	r20	std	mls		useitem				augmented1			1	1	mag%			50	50	gold%			100	100	addxp			2	2																																																																0
MF + GF on Weapon	1				0					6	weap	r32	r24	r20	std	mls		useitem				augmented1			1	1	mag%			50	50	gold%			100	100	addxp			2	2																																																																0
MF + GF on Amulet	1				0					6	amu	r32	r24	r20	std	mls		useitem				augmented1			1	1	mag%			50	50	gold%			100	100	addxp			2	2																																																																0
MF + GF on Shield	1				0					6	shld	r32	r24	r20	std	mls		useitem				augmented1			1	1	mag%			50	50	gold%			100	100	addxp			2	2																																																																0
MF + GF on Ring	1				0					6	ring	r32	r24	r20	std	mls		useitem				augmented1			1	1	mag%			50	50	gold%			100	100	addxp			2	2																																																																0
MF + GF on Gloves	1				0					6	glov	r32	r24	r20	std	mls		useitem				augmented1			1	1	mag%			50	50	gold%			100	100	addxp			2	2																																																																0
MF + GF on Boots	1				0					6	boot	r32	r24	r20	std	mls		useitem				augmented1			1	1	mag%			50	50	gold%			100	100	addxp			2	2																																																																0
MF + GF on Armor	1				0					6	tors	r32	r24	r20	std	mls		useitem				augmented1			1	1	mag%			50	50	gold%			100	100	addxp			2	2																																																																0
MF + GF on Belt	1				0					6	belt	r32	r24	r20	std	mls		useitem				augmented1			1	1	mag%			50	50	gold%			100	100	addxp			2	2																																																																0
Melee Augment on Helm	1				0					5	helm	r25	r19	std	mls			useitem				augmented1			1	1	att			200	200	att%			10	10																																																																					0
Melee Augment on Weapon	1				0					5	weap	r25	r19	std	mls			useitem				augmented1			1	1	att			200	200	att%			10	10																																																																					0
Melee Augment on Amulet	1				0					5	amu	r25	r19	std	mls			useitem				augmented1			1	1	att			200	200	att%			10	10																																																																					0
Melee Augment on Shield	1				0					5	shld	r25	r19	std	mls			useitem				augmented1			1	1	att			200	200	att%			10	10																																																																					0
Melee Augment on Ring	1				0					5	ring	r25	r19	std	mls			useitem				augmented1			1	1	att			200	200	att%			10	10																																																																					0
Melee Augment on Gloves	1				0					5	glov	r25	r19	std	mls			useitem				augmented1			1	1	att			200	200	att%			10	10																																																																					0
Melee Augment on Boots	1				0					5	boot	r25	r19	std	mls			useitem				augmented1			1	1	att			200	200	att%			10	10																																																																					0
Melee Augment on Armor	1				0					5	tors	r25	r19	std	mls			useitem				augmented1			1	1	att			200	200	att%			10	10																																																																					0
Melee Augment on Belt	1				0					5	belt	r25	r19	std	mls			useitem				augmented1			1	1	att			200	200	att%			10	10																																																																					0
Teleport + MF + GF on Armor	1				0					6	tors	r33	r29	The Stone of Jordan	std	mls		useitem				oskill		54	1	1	augmented1			1	1	mag%/lvl		3			gold%/lvl		6			addxp			2	2																																																											0
Break Down Hellfire Torch -> 1 Hellfire Ashes	1				0					2	Hellfire Torch	mls						tds																																																																																							0
Hellfire Ash + Stamina Potion -> 2 Standard of Heroes	1				0					2	tds	wms						std																													std																																																										0
Break Down Annihilus -> 3 Standard of Heroes	1				0					2	Annihilus	mls						std																													std																													std																													0
Break Down Gheed's Fortune -> 3 MF Potions	1				0					2	Gheed's Fortune	mls						mfp																													mfp																													mfp																													0
Replenishing TP Book	1				0					2	tbk	hsm						useitem				rep-quant		40																																																																																	0
Replenishing ID Book	1				0					2	ibk	hsm						useitem				rep-quant		40																																																																																	0
Repair Augment on Throwing Knife	1				0					3	tkni	std	hsm					useitem				rep-quant		40																																																																																	0
Repair Augment on Throwing Axe	1				0					3	taxe	std	hsm					useitem				rep-quant		40																																																																																	0
Repair Augment on Javelin	1				0					3	jave	std	hsm					useitem				rep-quant		40																																																																																	0
Repair Augment on Magic Item	1				0					3	any,mag	std	hsm					useitem				rep-dur		25																																																																																	0
Repair Augment on Rare Item	1				0					3	any,rar	std	hsm					useitem				rep-dur		25																																																																																	0
Repair Augment on Set Armor	1				0					3	armo,set	std	hsm					useitem				rep-dur		25																																																																																	0
Repair Augment on Set Weapon	1				0					3	weap,set	std	hsm					useitem				rep-dur		25																																																																																	0
Repair Augment on Unique Armor	1				0					3	armo,uni	std	hsm					useitem				rep-dur		25																																																																																	0
Repair Augment on Unique Weapon	1				0					3	weap,uni	std	hsm					useitem				rep-dur		25																																																																																	0
Repair Augment on Crafted Item	1				0					3	any,crf	std	hsm					useitem				rep-dur		25																																																																																	0
BLOCK CHARMS	1									2	cm1,mag	std						useitem																													std																																																										0
BLOCK CHARMS	1									2	cm2,mag	std						useitem																													std																																																										0
BLOCK CHARMS	1									2	cm3,mag	std						useitem																													std																																																										0
BLOCK JEWELS	1									2	jew	std						useitem																													std																																																										0
Magic Corruptor	1				0	18	369	0		2	any,mag	std						useitem				corruption2			1	1000																					std																																																										0
Brick	1				0	16	369	300		2	any,mag	std						usetype,rar			100	corruption2			1001	1001						corruption1			1	1											brk																																																										0
6 Socket Bows																																																																																																									0
1 Socket	1				0	16	369	468		2	bow,mag	std						useitem			100	corruption2			1001	1001	sock			1	1	corruption1			1	1																																																																					0
2 Socket	1				0	16	369	622		2	bow,mag	std						useitem			100	corruption2			1001	1001	sock			2	2	corruption1			1	1																																																																					0
3 Socket	1				0	16	369	748		2	bow,mag	std						useitem			100	corruption2			1001	1001	sock			3	3	corruption1			1	1																																																																					0
4 Socket	1				0	16	369	860		2	bow,mag	std						useitem			100	corruption2			1001	1001	sock			4	4	corruption1			1	1																																																																					0
5 Socket	1				0	16	369	944		2	bow,mag	std						useitem			100	corruption2			1001	1001	sock			5	5	corruption1			1	1																																																																					0
6 Socket	1				0	16	369	1000		2	bow,mag	std						useitem			100	corruption2			1001	1001	sock			6	6	corruption1			1	1																																																																					0
6 Socket Crossbows																																																																																																									0
1 Socket	1				0	16	369	468		2	xbow,mag	std						useitem			100	corruption2			1001	1001	sock			1	1	corruption1			1	1																																																																					0
2 Socket	1				0	16	369	622		2	xbow,mag	std						useitem			100	corruption2			1001	1001	sock			2	2	corruption1			1	1																																																																					0
3 Socket	1				0	16	369	748		2	xbow,mag	std						useitem			100	corruption2			1001	1001	sock			3	3	corruption1			1	1																																																																					0
4 Socket	1				0	16	369	860		2	xbow,mag	std						useitem			100	corruption2			1001	1001	sock			4	4	corruption1			1	1																																																																					0
5 Socket	1				0	16	369	944		2	xbow,mag	std						useitem			100	corruption2			1001	1001	sock			5	5	corruption1			1	1																																																																					0
6 Socket	1				0	16	369	1000		2	xbow,mag	std						useitem			100	corruption2			1001	1001	sock			6	6	corruption1			1	1																																																																					0
2 Handed Sockets																																																																																																									0
1 Socket	1				0	16	369	468		2	2han,mag	std						useitem			100	corruption2			1001	1001	sock			1	1	corruption1			1	1																																																																					0
2 Socket	1				0	16	369	622		2	2han,mag	std						useitem			100	corruption2			1001	1001	sock			2	2	corruption1			1	1																																																																					0
3 Socket	1				0	16	369	748		2	2han,mag	std						useitem			100	corruption2			1001	1001	sock			3	3	corruption1			1	1																																																																					0
4 Socket	1				0	16	369	860		2	2han,mag	std						useitem			100	corruption2			1001	1001	sock			4	4	corruption1			1	1																																																																					0
5 Socket	1				0	16	369	944		2	2han,mag	std						useitem			100	corruption2			1001	1001	sock			5	5	corruption1			1	1																																																																					0
6 Socket	1				0	16	369	1000		2	2han,mag	std						useitem			100	corruption2			1001	1001	sock			6	6	corruption1			1	1																																																																					0
1 Socket																																																																																																									0
Rings	1				0	16	369	1000		2	ring,mag	std						useitem			100	corruption2			1001	1001	sock			1	1	corruption1			1	1																																																																					0
Amulet	1				0	16	369	1000		2	amu,mag	std						useitem			100	corruption2			1001	1001	sock			1	1	corruption1			1	1																																																																					0
2 Socket Belts																																																																																																									0
1 Socket	1				0	16	369	895		2	belt,mag	std						useitem			100	corruption2			1001	1001	sock			1	1	corruption1			1	1																																																																					0
2 Socket	1				0	16	369	1000		2	belt,mag	std						useitem			100	corruption2			1001	1001	sock			2	2	corruption1			1	1																																																																					0
3 Socket Gloves																																																																																																									0
1 Socket	1				0	16	369	804		2	glov,mag	std						useitem			100	corruption2			1001	1001	sock			1	1	corruption1			1	1																																																																					0
2 Socket	1				0	16	369	944		2	glov,mag	std						useitem			100	corruption2			1001	1001	sock			2	2	corruption1			1	1																																																																					0
3 Socket	1				0	16	369	1000		2	glov,mag	std						useitem			100	corruption2			1001	1001	sock			3	3	corruption1			1	1																																																																					0
3 Socket Boots																																																																																																									0
1 Socket	1				0	16	369	804		2	boot,mag	std						useitem			100	corruption2			1001	1001	sock			1	1	corruption1			1	1																																																																					0
2 Socket	1				0	16	369	944		2	boot,mag	std						useitem			100	corruption2			1001	1001	sock			2	2	corruption1			1	1																																																																					0
3 Socket	1				0	16	369	1000		2	boot,mag	std						useitem			100	corruption2			1001	1001	sock			3	3	corruption1			1	1																																																																					0
3 Socket Helm																																																																																																									0
1 Socket	1				0	16	369	804		2	helm,mag	std						useitem			100	corruption2			1001	1001	sock			1	1	corruption1			1	1																																																																					0
2 Socket	1				0	16	369	944		2	helm,mag	std						useitem			100	corruption2			1001	1001	sock			2	2	corruption1			1	1																																																																					0
3 Socket	1				0	16	369	1000		2	helm,mag	std						useitem			100	corruption2			1001	1001	sock			3	3	corruption1			1	1																																																																					0
3 Socket Chest																																																																																																									0
1 Socket	1				0	16	369	804		2	tors,mag	std						useitem			100	corruption2			1001	1001	sock			1	1	corruption1			1	1																																																																					0
2 Socket	1				0	16	369	944		2	tors,mag	std						useitem			100	corruption2			1001	1001	sock			2	2	corruption1			1	1																																																																					0
3 Socket	1				0	16	369	1000		2	tors,mag	std						useitem			100	corruption2			1001	1001	sock			3	3	corruption1			1	1																																																																					0
3 Socket Shield																																																																																																									0
1 Socket	1				0	16	369	804		2	shld,mag	std						useitem			100	corruption2			1001	1001	sock			1	1	corruption1			1	1																																																																					0
2 Socket	1				0	16	369	944		2	shld,mag	std						useitem			100	corruption2			1001	1001	sock			2	2	corruption1			1	1																																																																					0
3 Socket	1				0	16	369	1000		2	shld,mag	std						useitem			100	corruption2			1001	1001	sock			3	3	corruption1			1	1																																																																					0
4 Socket Weapons																																																																																																									0
1 Socket	1				0	16	369	580		2	weap,mag	std						useitem			100	corruption2			1001	1001	sock			1	1	corruption1			1	1																																																																					0
2 Socket	1				0	16	369	804		2	weap,mag	std						useitem			100	corruption2			1001	1001	sock			2	2	corruption1			1	1																																																																					0
3 Socket	1				0	16	369	916		2	weap,mag	std						useitem			100	corruption2			1001	1001	sock			3	3	corruption1			1	1																																																																					0
4 Socket	1				0	16	369	1000		2	weap,mag	std						useitem			100	corruption2			1001	1001	sock			4	4	corruption1			1	1																																																																					0
																																																																																																									0
RARE CORRUPTIONS ----------------																																																																																																									0
																																																																																																									0
Rare Corruptor	1				0	18	369	0		2	any,rar	std						useitem				corruption2			1	1000																					std																																																										0
Brick	1				0	16	369	300		2	any,rar	std						usetype,rar			100	corruption2			1001	1001						corruption1			1	1											brk																																																										0
6 Socket Bows																																																																																																									0
1 Socket	1				0	16	369	468		2	bow,rar	std						useitem			100	corruption2			1001	1001	sock			1	1	corruption1			1	1																																																																					0
2 Socket	1				0	16	369	622		2	bow,rar	std						useitem			100	corruption2			1001	1001	sock			2	2	corruption1			1	1																																																																					0
3 Socket	1				0	16	369	748		2	bow,rar	std						useitem			100	corruption2			1001	1001	sock			3	3	corruption1			1	1																																																																					0
4 Socket	1				0	16	369	860		2	bow,rar	std						useitem			100	corruption2			1001	1001	sock			4	4	corruption1			1	1																																																																					0
5 Socket	1				0	16	369	944		2	bow,rar	std						useitem			100	corruption2			1001	1001	sock			5	5	corruption1			1	1																																																																					0
6 Socket	1				0	16	369	1000		2	bow,rar	std						useitem			100	corruption2			1001	1001	sock			6	6	corruption1			1	1																																																																					0
6 Socket Crossbows																																																																																																									0
1 Socket	1				0	16	369	468		2	xbow,rar	std						useitem			100	corruption2			1001	1001	sock			1	1	corruption1			1	1																																																																					0
2 Socket	1				0	16	369	622		2	xbow,rar	std						useitem			100	corruption2			1001	1001	sock			2	2	corruption1			1	1																																																																					0
3 Socket	1				0	16	369	748		2	xbow,rar	std						useitem			100	corruption2			1001	1001	sock			3	3	corruption1			1	1																																																																					0
4 Socket	1				0	16	369	860		2	xbow,rar	std						useitem			100	corruption2			1001	1001	sock			4	4	corruption1			1	1																																																																					0
5 Socket	1				0	16	369	944		2	xbow,rar	std						useitem			100	corruption2			1001	1001	sock			5	5	corruption1			1	1																																																																					0
6 Socket	1				0	16	369	1000		2	xbow,rar	std						useitem			100	corruption2			1001	1001	sock			6	6	corruption1			1	1																																																																					0
2 Handed Sockets																																																																																																									0
1 Socket	1				0	16	369	468		2	2han,rar	std						useitem			100	corruption2			1001	1001	sock			1	1	corruption1			1	1																																																																					0
2 Socket	1				0	16	369	622		2	2han,rar	std						useitem			100	corruption2			1001	1001	sock			2	2	corruption1			1	1																																																																					0
3 Socket	1				0	16	369	748		2	2han,rar	std						useitem			100	corruption2			1001	1001	sock			3	3	corruption1			1	1																																																																					0
4 Socket	1				0	16	369	860		2	2han,rar	std						useitem			100	corruption2			1001	1001	sock			4	4	corruption1			1	1																																																																					0
5 Socket	1				0	16	369	944		2	2han,rar	std						useitem			100	corruption2			1001	1001	sock			5	5	corruption1			1	1																																																																					0
6 Socket	1				0	16	369	1000		2	2han,rar	std						useitem			100	corruption2			1001	1001	sock			6	6	corruption1			1	1																																																																					0
1 Socket																																																																																																									0
Rings	1				0	16	369	1000		2	ring,rar	std						useitem			100	corruption2			1001	1001	sock			1	1	corruption1			1	1																																																																					0
Amulet	1				0	16	369	1000		2	amu,rar	std						useitem			100	corruption2			1001	1001	sock			1	1	corruption1			1	1																																																																					0
2 Socket Belts																																																																																																									0
1 Socket	1				0	16	369	895		2	belt,rar	std						useitem			100	corruption2			1001	1001	sock			1	1	corruption1			1	1																																																																					0
2 Socket	1				0	16	369	1000		2	belt,rar	std						useitem			100	corruption2			1001	1001	sock			2	2	corruption1			1	1																																																																					0
3 Socket Gloves																																																																																																									0
1 Socket	1				0	16	369	804		2	glov,rar	std						useitem			100	corruption2			1001	1001	sock			1	1	corruption1			1	1																																																																					0
2 Socket	1				0	16	369	944		2	glov,rar	std						useitem			100	corruption2			1001	1001	sock			2	2	corruption1			1	1																																																																					0
3 Socket	1				0	16	369	1000		2	glov,rar	std						useitem			100	corruption2			1001	1001	sock			3	3	corruption1			1	1																																																																					0
3 Socket Boots																																																																																																									0
1 Socket	1				0	16	369	804		2	boot,rar	std						useitem			100	corruption2			1001	1001	sock			1	1	corruption1			1	1																																																																					0
2 Socket	1				0	16	369	944		2	boot,rar	std						useitem			100	corruption2			1001	1001	sock			2	2	corruption1			1	1																																																																					0
3 Socket	1				0	16	369	1000		2	boot,rar	std						useitem			100	corruption2			1001	1001	sock			3	3	corruption1			1	1																																																																					0
3 Socket Helm																																																																																																									0
1 Socket	1				0	16	369	804		2	helm,rar	std						useitem			100	corruption2			1001	1001	sock			1	1	corruption1			1	1																																																																					0
2 Socket	1				0	16	369	944		2	helm,rar	std						useitem			100	corruption2			1001	1001	sock			2	2	corruption1			1	1																																																																					0
3 Socket	1				0	16	369	1000		2	helm,rar	std						useitem			100	corruption2			1001	1001	sock			3	3	corruption1			1	1																																																																					0
3 Socket Chest																																																																																																									0
1 Socket	1				0	16	369	804		2	tors,rar	std						useitem			100	corruption2			1001	1001	sock			1	1	corruption1			1	1																																																																					0
2 Socket	1				0	16	369	944		2	tors,rar	std						useitem			100	corruption2			1001	1001	sock			2	2	corruption1			1	1																																																																					0
3 Socket	1				0	16	369	1000		2	tors,rar	std						useitem			100	corruption2			1001	1001	sock			3	3	corruption1			1	1																																																																					0
3 Socket Shield																																																																																																									0
1 Socket	1				0	16	369	804		2	shld,rar	std						useitem			100	corruption2			1001	1001	sock			1	1	corruption1			1	1																																																																					0
2 Socket	1				0	16	369	944		2	shld,rar	std						useitem			100	corruption2			1001	1001	sock			2	2	corruption1			1	1																																																																					0
3 Socket	1				0	16	369	1000		2	shld,rar	std						useitem			100	corruption2			1001	1001	sock			3	3	corruption1			1	1																																																																					0
4 Socket Weapons																																																																																																									0
1 Socket	1				0	16	369	580		2	weap,rar	std						useitem			100	corruption2			1001	1001	sock			1	1	corruption1			1	1																																																																					0
2 Socket	1				0	16	369	804		2	weap,rar	std						useitem			100	corruption2			1001	1001	sock			2	2	corruption1			1	1																																																																					0
3 Socket	1				0	16	369	916		2	weap,rar	std						useitem			100	corruption2			1001	1001	sock			3	3	corruption1			1	1																																																																					0
4 Socket	1				0	16	369	1000		2	weap,rar	std						useitem			100	corruption2			1001	1001	sock			4	4	corruption1			1	1																																																																					0
																																																																																																									0
SET CORRUPTIONS ----------------																																																																																																									0
																																																																																																									0
Set Corruptor	1				0	18	369	0		2	any,set	std						useitem				corruption2			1	1000																					std																																																										0
Brick	1				0	16	369	300		2	any,set	std						usetype,rar			100	corruption2			1001	1001						corruption1			1	1											brk																																																										0
6 Socket Bows	0																																																																																																								0
1 Socket	1				0	16	369	468		2	bow,set	std						useitem			100	corruption2			1001	1001	sock			1	1	corruption1			1	1																																																																					0
2 Socket	1				0	16	369	622		2	bow,set	std						useitem			100	corruption2			1001	1001	sock			2	2	corruption1			1	1																																																																					0
3 Socket	1				0	16	369	748		2	bow,set	std						useitem			100	corruption2			1001	1001	sock			3	3	corruption1			1	1																																																																					0
4 Socket	1				0	16	369	860		2	bow,set	std						useitem			100	corruption2			1001	1001	sock			4	4	corruption1			1	1																																																																					0
5 Socket	1				0	16	369	944		2	bow,set	std						useitem			100	corruption2			1001	1001	sock			5	5	corruption1			1	1																																																																					0
6 Socket	1				0	16	369	1000		2	bow,set	std						useitem			100	corruption2			1001	1001	sock			6	6	corruption1			1	1																																																																					0
6 Socket Crossbows																																																																																																									0
1 Socket	1				0	16	369	468		2	xbow,set	std						useitem			100	corruption2			1001	1001	sock			1	1	corruption1			1	1																																																																					0
2 Socket	1				0	16	369	622		2	xbow,set	std						useitem			100	corruption2			1001	1001	sock			2	2	corruption1			1	1																																																																					0
3 Socket	1				0	16	369	748		2	xbow,set	std						useitem			100	corruption2			1001	1001	sock			3	3	corruption1			1	1																																																																					0
4 Socket	1				0	16	369	860		2	xbow,set	std						useitem			100	corruption2			1001	1001	sock			4	4	corruption1			1	1																																																																					0
5 Socket	1				0	16	369	944		2	xbow,set	std						useitem			100	corruption2			1001	1001	sock			5	5	corruption1			1	1																																																																					0
6 Socket	1				0	16	369	1000		2	xbow,set	std						useitem			100	corruption2			1001	1001	sock			6	6	corruption1			1	1																																																																					0
2 Handed Sockets																																																																																																									0
1 Socket	1				0	16	369	468		2	2han,set	std						useitem			100	corruption2			1001	1001	sock			1	1	corruption1			1	1																																																																					0
2 Socket	1				0	16	369	622		2	2han,set	std						useitem			100	corruption2			1001	1001	sock			2	2	corruption1			1	1																																																																					0
3 Socket	1				0	16	369	748		2	2han,set	std						useitem			100	corruption2			1001	1001	sock			3	3	corruption1			1	1																																																																					0
4 Socket	1				0	16	369	860		2	2han,set	std						useitem			100	corruption2			1001	1001	sock			4	4	corruption1			1	1																																																																					0
5 Socket	1				0	16	369	944		2	2han,set	std						useitem			100	corruption2			1001	1001	sock			5	5	corruption1			1	1																																																																					0
6 Socket	1				0	16	369	1000		2	2han,set	std						useitem			100	corruption2			1001	1001	sock			6	6	corruption1			1	1																																																																					0
1 Socket																																																																																																									0
Rings	1				0	16	369	1000		2	ring,set	std						useitem			100	corruption2			1001	1001	sock			1	1	corruption1			1	1																																																																					0
Amulet	1				0	16	369	1000		2	amu,set	std						useitem			100	corruption2			1001	1001	sock			1	1	corruption1			1	1																																																																					0
2 Socket Belts																																																																																																									0
1 Socket	1				0	16	369	895		2	belt,set	std						useitem			100	corruption2			1001	1001	sock			1	1	corruption1			1	1																																																																					0
2 Socket	1				0	16	369	1000		2	belt,set	std						useitem			100	corruption2			1001	1001	sock			2	2	corruption1			1	1																																																																					0
3 Socket Gloves																																																																																																									0
1 Socket	1				0	16	369	804		2	glov,set	std						useitem			100	corruption2			1001	1001	sock			1	1	corruption1			1	1																																																																					0
2 Socket	1				0	16	369	944		2	glov,set	std						useitem			100	corruption2			1001	1001	sock			2	2	corruption1			1	1																																																																					0
3 Socket	1				0	16	369	1000		2	glov,set	std						useitem			100	corruption2			1001	1001	sock			3	3	corruption1			1	1																																																																					0
3 Socket Boots																																																																																																									0
1 Socket	1				0	16	369	804		2	boot,set	std						useitem			100	corruption2			1001	1001	sock			1	1	corruption1			1	1																																																																					0
2 Socket	1				0	16	369	944		2	boot,set	std						useitem			100	corruption2			1001	1001	sock			2	2	corruption1			1	1																																																																					0
3 Socket	1				0	16	369	1000		2	boot,set	std						useitem			100	corruption2			1001	1001	sock			3	3	corruption1			1	1																																																																					0
3 Socket Helm																																																																																																									0
1 Socket	1				0	16	369	804		2	helm,set	std						useitem			100	corruption2			1001	1001	sock			1	1	corruption1			1	1																																																																					0
2 Socket	1				0	16	369	944		2	helm,set	std						useitem			100	corruption2			1001	1001	sock			2	2	corruption1			1	1																																																																					0
3 Socket	1				0	16	369	1000		2	helm,set	std						useitem			100	corruption2			1001	1001	sock			3	3	corruption1			1	1																																																																					0
3 Socket Chest																																																																																																									0
1 Socket	1				0	16	369	804		2	tors,set	std						useitem			100	corruption2			1001	1001	sock			1	1	corruption1			1	1																																																																					0
2 Socket	1				0	16	369	944		2	tors,set	std						useitem			100	corruption2			1001	1001	sock			2	2	corruption1			1	1																																																																					0
3 Socket	1				0	16	369	1000		2	tors,set	std						useitem			100	corruption2			1001	1001	sock			3	3	corruption1			1	1																																																																					0
3 Socket Shield																																																																																																									0
1 Socket	1				0	16	369	804		2	shld,set	std						useitem			100	corruption2			1001	1001	sock			1	1	corruption1			1	1																																																																					0
2 Socket	1				0	16	369	944		2	shld,set	std						useitem			100	corruption2			1001	1001	sock			2	2	corruption1			1	1																																																																					0
3 Socket	1				0	16	369	1000		2	shld,set	std						useitem			100	corruption2			1001	1001	sock			3	3	corruption1			1	1																																																																					0
4 Socket Weapons																																																																																																									0
1 Socket	1				0	16	369	580		2	weap,set	std						useitem			100	corruption2			1001	1001	sock			1	1	corruption1			1	1																																																																					0
2 Socket	1				0	16	369	804		2	weap,set	std						useitem			100	corruption2			1001	1001	sock			2	2	corruption1			1	1																																																																					0
3 Socket	1				0	16	369	916		2	weap,set	std						useitem			100	corruption2			1001	1001	sock			3	3	corruption1			1	1																																																																					0
4 Socket	1				0	16	369	1000		2	weap,set	std						useitem			100	corruption2			1001	1001	sock			4	4	corruption1			1	1																																																																					0
																																																																																																									0
UNIQUE CORRUPTIONS ----------------																																																																																																									0
																																																																																																									0
Unique Corruptor	1				0	18	369	0		2	Annihilus	tds						useitem				corruption2			1	1000																					tds																																																										0
Unique Corruptor	1				0	18	369	0		3	Hellfire Torch	tds,qty=2						useitem				corruption2			1	1000																					tds																													tds																													0
